input,output,width,height,size_kb,threshold,radius,padding,error
C:\Users\Phenom\Desktop\Bannières prez\banners\cyberpunk\en\metadata.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\cyberpunk\en\metadata.png,350,72,48.4,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\cyberpunk\en\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\cyberpunk\en\release.png,350,72,47.2,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\cyberpunk\en\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\cyberpunk\en\subtitles.png,350,72,46.8,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\cyberpunk\en\synopsis.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\cyberpunk\en\synopsis.png,350,80,52.2,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\cyberpunk\en\technical.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\cyberpunk\en\technical.png,350,74,50.4,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\cyberpunk\es\audio.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\cyberpunk\es\audio.png,350,93,61.1,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\cyberpunk\es\information.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\cyberpunk\es\information.png,350,80,53.9,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\cyberpunk\es\metadata.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\cyberpunk\es\metadata.png,350,88,57.2,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\cyberpunk\es\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\cyberpunk\es\release.png,350,95,61.8,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\cyberpunk\es\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\cyberpunk\es\subtitles.png,350,86,56.7,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\cyberpunk\es\synopsis.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\cyberpunk\es\synopsis.png,350,87,56.3,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\cyberpunk\es\technical.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\cyberpunk\es\technical.png,350,72,48.8,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\cyberpunk\fr\audio.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\cyberpunk\fr\audio.png,350,78,49.7,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\cyberpunk\fr\information.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\cyberpunk\fr\information.png,350,77,52.2,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\cyberpunk\fr\metadata.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\cyberpunk\fr\metadata.png,350,73,48.8,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\cyberpunk\fr\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\cyberpunk\fr\release.png,350,80,52.9,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\cyberpunk\fr\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\cyberpunk\fr\subtitles.png,350,79,51.2,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\cyberpunk\fr\synopsis.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\cyberpunk\fr\synopsis.png,350,76,50.2,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\cyberpunk\fr\technical.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\cyberpunk\fr\technical.png,350,72,47.0,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\dark-fantasy\en\audio.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\dark-fantasy\en\audio.png,350,107,55.2,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\dark-fantasy\en\information.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\dark-fantasy\en\information.png,350,103,59.6,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\dark-fantasy\en\metadata.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\dark-fantasy\en\metadata.png,350,117,64.5,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\dark-fantasy\en\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\dark-fantasy\en\release.png,350,98,53.0,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\dark-fantasy\en\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\dark-fantasy\en\subtitles.png,350,123,65.3,50,0.5,8,
